name, num. of atoms, atomic types, rmsd, max. deviation, av. deviation, pearson**2
NSC_101687,24,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0437,0.1494,0.0334,0.9896
NSC_101085,29,"C~1, C~2, H~1, N~1",0.0438,0.0951,0.037,0.9765
NSC_100219,35,"C~1, C~2, H~1, O~2",0.044,0.1683,0.0288,0.9768
NSC_100865,59,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.044,0.1855,0.0313,0.9799
NSC_101336,29,"C~1, C~2, H~1, N~1, O~1",0.044,0.1048,0.0335,0.984
NSC_100554,18,"C~1, C~2, H~1, N~1, O~2",0.0441,0.1544,0.028,0.9871
NSC_101984,37,"C~1, C~2, H~1, N~1, N~2, O~2",0.0441,0.1292,0.0326,0.9719
NSC_100953,28,"C~1, C~2, H~1, O~1, O~2",0.0442,0.0988,0.0345,0.9829
NSC_101548,35,"C~2, H~1, N~2",0.0442,0.1149,0.0358,0.9698
NSC_10039,49,"C~1, C~2, H~1, O~1, O~2",0.0445,0.1682,0.0279,0.9773
NSC_100744,28,"C~1, H~1, O~1",0.0446,0.1665,0.0251,0.974
NSC_101852,27,"C~1, C~2, H~1, O~1",0.0447,0.0999,0.0361,0.9812
NSC_100905,19,"C~1, C~2, H~1, N~2, S~1",0.0448,0.1126,0.035,0.972
NSC_101352,29,"C~1, C~2, H~1, N~1, N~2, O~2, S~2",0.0451,0.0989,0.0384,0.9906
NSC_100251,53,"C~1, C~2, H~1, N~1, O~1, O~2",0.0452,0.1715,0.0318,0.9806
NSC_10019,45,"C~1, C~2, H~1, N~1, O~1, O~2",0.0454,0.2588,0.0249,0.9833
NSC_100704,40,"C~1, C~2, H~1, O~1",0.0454,0.1629,0.0343,0.9629
NSC_100714,53,"C~1, C~2, H~1, N~1, O~1",0.0455,0.194,0.0349,0.97
NSC_10090,35,"C~1, C~2, H~1, O~1, O~2",0.0457,0.157,0.0345,0.9822
NSC_100724,20,"C~1, C~2, H~1, N~1, O~2, S~2",0.0459,0.1111,0.0376,0.9859
NSC_101266,33,"C~1, C~2, H~1, N~1, O~2",0.0462,0.1654,0.0339,0.987
NSC_101853,27,"C~1, C~2, H~1, O~1",0.0462,0.1085,0.0369,0.9843
NSC_100060,68,"C~1, C~2, H~1, N~1, O~1, O~2, S~1",0.0463,0.1526,0.0301,0.9779
NSC_100901,24,"C~1, C~2, H~1, N~1, N~2, O~2",0.0463,0.131,0.0333,0.9888
NSC_100969,31,"C~1, C~2, H~1, N~1, S~2",0.0463,0.1043,0.0349,0.9774
NSC_100863,46,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0464,0.176,0.034,0.9803
NSC_101543,22,"C~2, H~1, N~2, O~1, S~1",0.0465,0.0917,0.0389,0.9813
NSC_100169,29,"C~1, H~1, N~1, S~1",0.0467,0.1443,0.0326,0.9737
NSC_10110,20,"C~1, H~1, O~1",0.0468,0.112,0.0355,0.9851
NSC_10123,24,"C~1, C~2, H~1, N~1, O~1, O~2",0.0468,0.1087,0.0377,0.9885
NSC_101544,29,"C~2, H~1, N~2",0.0468,0.1134,0.0386,0.9669
NSC_100992,30,"C~1, C~2, H~1, O~1, O~2",0.0469,0.1456,0.0354,0.9792
NSC_101682,35,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0469,0.1485,0.0354,0.9823
NSC_101015,35,"C~1, C~2, H~1, N~1, O~2",0.047,0.1713,0.036,0.9773
NSC_100751,24,"C~1, C~2, H~1, N~1, O~2",0.0471,0.1119,0.0343,0.9803
NSC_101592,51,"C~1, C~2, H~1, O~1",0.0471,0.1758,0.0287,0.971
NSC_100059,75,"C~1, C~2, H~1, N~1, O~1, O~2",0.0472,0.1766,0.0309,0.9831
NSC_100764,33,"C~1, C~2, H~1, N~2",0.0472,0.1288,0.039,0.9752
NSC_101081,54,"C~1, C~2, H~1, O~2",0.0472,0.2072,0.0269,0.9709
NSC_101845,20,"C~1, C~2, H~1, O~1",0.0472,0.099,0.0408,0.983
NSC_100864,55,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0473,0.2061,0.0329,0.9781
NSC_101356,29,"C~1, C~2, H~1, S~1",0.0473,0.1308,0.0297,0.965
NSC_100168,31,"C~1, C~2, H~1, N~1, O~1, O~2",0.0474,0.1109,0.0399,0.9865
NSC_100690,32,"C~1, C~2, H~1, N~1, O~2",0.0474,0.1443,0.0352,0.979
NSC_101848,27,"C~1, C~2, H~1, O~1",0.0474,0.1145,0.0385,0.979
NSC_101985,40,"C~1, C~2, H~1, N~1, N~2, O~2",0.0474,0.1396,0.0347,0.9599
NSC_10070,21,"C~1, H~1, O~1",0.0475,0.1013,0.0408,0.9879
NSC_10052,30,"C~1, C~2, H~1, O~1, O~2",0.0477,0.1348,0.0363,0.9807
NSC_100747,28,"C~1, C~2, H~1, N~1, O~1",0.0477,0.1482,0.0343,0.9676
NSC_10050,29,"C~1, C~2, H~1, O~1, O~2",0.0479,0.1418,0.036,0.9812
NSC_101027,37,"C~1, C~2, H~1, O~1, O~2",0.0479,0.0967,0.0363,0.9795
NSC_100705,43,"C~1, C~2, H~1, N~1, O~1, O~2",0.048,0.1257,0.0368,0.9804
NSC_1008,43,"C~1, C~2, H~1, N~1, N~2, O~1",0.048,0.1317,0.0379,0.9843
NSC_101474,22,"C~1, C~2, H~1, N~1, O~1, O~2",0.048,0.1181,0.0361,0.9908
NSC_101851,27,"C~1, C~2, H~1, O~1",0.048,0.1137,0.0374,0.9795
NSC_100029,24,"C~2, H~1, N~2, O~1, O~2",0.0481,0.0971,0.0397,0.9806
NSC_100694,39,"C~1, C~2, H~1, N~1, O~2, S~2",0.0481,0.2141,0.0319,0.9913
NSC_10096,40,"C~1, C~2, H~1, N~1, O~1, O~2",0.0481,0.1336,0.0359,0.9864
NSC_101152,33,"C~1, C~2, H~1, N~1, N~2",0.0482,0.1624,0.038,0.9804
NSC_101481,29,"C~1, C~2, H~1, N~1, O~1, O~2",0.0482,0.1191,0.0373,0.9887
NSC_100909,22,"C~1, C~2, H~1, O~1, O~2",0.0484,0.1077,0.0402,0.9865
NSC_100032,26,"C~1, C~2, H~1, N~2, O~1, O~2",0.0485,0.1124,0.0391,0.9816
NSC_100977,28,"C~1, C~2, H~1, O~1, O~2",0.0486,0.1236,0.0391,0.9832
NSC_10099,44,"C~1, C~2, H~1, O~1, O~2",0.0486,0.1293,0.0379,0.9796
NSC_100619,24,"C~1, C~2, H~1, N~2, S~1",0.0487,0.1113,0.037,0.9767
NSC_100184,34,"C~1, C~2, H~1, N~1, O~1, O~2",0.0488,0.146,0.0358,0.9822
NSC_100712,51,"C~1, C~2, H~1, N~1, O~1",0.0488,0.2005,0.0368,0.9789
NSC_101475,24,"C~1, C~2, H~1, N~1, O~1, O~2",0.0488,0.1281,0.0353,0.9857
NSC_100224,45,"C~1, C~2, H~1, O~1, O~2, S~1",0.0489,0.1789,0.0302,0.9806
NSC_101330,44,"C~1, C~2, H~1, N~1, O~1, S~1",0.049,0.1617,0.0385,0.9784
NSC_100275,54,"C~1, C~2, H~1, O~2",0.0492,0.1928,0.0358,0.952
NSC_100593,27,"C~1, C~2, H~1, O~1, O~2",0.0494,0.1066,0.0404,0.9878
NSC_102026,18,"C~1, C~2, H~1, N~1, N~2, O~2",0.0494,0.107,0.0388,0.992
NSC_1000,22,"C~1, C~2, H~1, N~1, O~2",0.0498,0.1093,0.0439,0.9902
NSC_101190,48,"C~1, C~2, H~1, N~1, N~2",0.0498,0.1606,0.0365,0.9844
NSC_100911,26,"C~1, C~2, H~1, N~1, O~1, O~2",0.0499,0.2056,0.0308,0.9855
NSC_1014,45,"C~1, C~2, H~1, N~1, N~2, O~1",0.05,0.1305,0.0404,0.9778
NSC_101031,42,"C~1, C~2, H~1, N~2, O~1",0.0501,0.1229,0.0389,0.9663
NSC_101545,29,"C~2, H~1, N~2",0.0502,0.1197,0.0405,0.9634
NSC_100238,44,"C~1, C~2, H~1, N~1, O~1, O~2",0.0503,0.1625,0.0352,0.981
NSC_100682,36,"C~1, C~2, H~1, N~1, O~1, O~2",0.0503,0.1605,0.037,0.981
NSC_100884,29,"C~2, H~1, N~2, O~1, O~2",0.0503,0.1494,0.0382,0.9838
NSC_101193,47,"C~1, C~2, H~1, N~1, O~1, O~2, S~2",0.0503,0.148,0.0357,0.9893
NSC_100201,32,"C~1, C~2, H~1, O~2",0.0504,0.1524,0.0329,0.9745
NSC_100728,22,"C~1, C~2, H~1, O~1",0.0504,0.1229,0.0378,0.9783
NSC_102025,27,"C~1, C~2, H~1, N~1, O~2, S~2",0.0505,0.1191,0.0377,0.987
NSC_10170,39,"C~1, C~2, H~1, O~1, O~2",0.0506,0.1623,0.0397,0.9808
NSC_100988,39,"C~1, C~2, H~1, O~1, O~2",0.0507,0.1911,0.0358,0.9781
NSC_101115,27,"C~1, C~2, H~1, N~1, O~2",0.0507,0.1702,0.0348,0.9843
NSC_100898,20,"C~1, H~1, O~1",0.0508,0.1078,0.0412,0.974
NSC_100912,28,"C~1, C~2, H~1, N~1, O~1, O~2",0.0508,0.1629,0.0388,0.9866
NSC_101137,22,"C~1, C~2, H~1, O~1, O~2",0.0508,0.0931,0.0428,0.985
NSC_100181,30,"C~1, C~2, H~1, O~1, O~2",0.0509,0.157,0.0328,0.9772
