name, num. of atoms, atomic types, rmsd, max. deviation, av. deviation, pearson**2
NSC_100669,22,"C~1, C~2, H~1, O~1, O~2",0.0412,0.1214,0.0286,0.9843
NSC_100206,35,"C~1, C~2, H~1, O~1, O~2",0.0415,0.1683,0.026,0.9863
NSC_100169,29,"C~1, H~1, N~1, S~1",0.0425,0.1206,0.0323,0.9749
NSC_10052,30,"C~1, C~2, H~1, O~1, O~2",0.0428,0.1605,0.0296,0.9904
NSC_1006,29,"C~1, C~2, H~1, N~1, O~2",0.0428,0.108,0.0342,0.9914
NSC_100152,19,"C~1, C~2, H~1, N~1, N~2",0.0431,0.1206,0.0293,0.9873
NSC_100259,41,"C~1, C~2, H~1, O~1, O~2",0.0433,0.1354,0.0285,0.9795
NSC_100281,19,"C~1, C~2, H~1, N~1, N~2, S~1",0.0433,0.0788,0.0372,0.9923
NSC_100777,45,"C~1, C~2, H~1, N~2, O~1, O~2",0.0434,0.183,0.0276,0.9794
NSC_100624,26,"C~1, H~1, O~1",0.0439,0.1091,0.0333,0.9923
NSC_100062,59,"C~1, C~2, H~1, N~2, O~1, O~2",0.044,0.2083,0.024,0.9864
NSC_100239,31,"C~2, H~1, O~1, O~2",0.0442,0.141,0.03,0.975
NSC_100756,38,"C~1, C~2, H~1, N~1, O~1, O~2",0.0442,0.1525,0.0281,0.9887
NSC_100375,42,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0443,0.1091,0.0339,0.985
NSC_10012,26,"C~1, C~2, H~1, N~1, N~2, O~2",0.0446,0.0874,0.0344,0.9882
NSC_100778,19,"C~2, H~1, N~1, N~2, O~2",0.0448,0.1045,0.0335,0.9919
NSC_1000,22,"C~1, C~2, H~1, N~1, O~2",0.0449,0.1234,0.0354,0.9909
NSC_100168,31,"C~1, C~2, H~1, N~1, O~1, O~2",0.045,0.1199,0.0345,0.9904
NSC_100178,28,"C~1, C~2, H~1, N~1, O~2",0.045,0.1588,0.0284,0.9894
NSC_100593,27,"C~1, C~2, H~1, O~1, O~2",0.045,0.146,0.0364,0.9872
NSC_100277,90,"C~1, C~2, H~1, O~2",0.0454,0.138,0.033,0.9737
