name, num. of atoms, atomic types, rmsd, max. deviation, av. deviation, pearson**2
NSC_121250,25,"C, H, N, S",0.073,0.2797,0.0485,0.9547
NSC_12530,32,"C, Cl, H, O, S",0.0731,0.157,0.0544,0.9906
NSC_114609,30,"C, H, I, N, O",0.0731,0.1537,0.0592,0.9572
NSC_402434,19,"C, H, I, O",0.0731,0.1774,0.0539,0.9605
NSC_194631,31,"C, H, I, O, S",0.0732,0.2152,0.0508,0.9787
NSC_76781,28,"C, H, I, N, O",0.0732,0.2511,0.0508,0.9343
NSC_10397,24,"C, H, N, O",0.0732,0.2167,0.0501,0.9479
NSC_304139,34,"C, Cl, H, N, S",0.0732,0.2837,0.0463,0.9689
NSC_507166,18,"C, Cl, H, I, O",0.0732,0.1509,0.055,0.9308
NSC_10150,34,"C, H, N, O",0.0732,0.277,0.0558,0.9543
NSC_105522,36,"C, H, N, O, P",0.0733,0.2565,0.0497,0.9814
NSC_349206,26,"C, H, I, N, O",0.0733,0.1546,0.0598,0.9643
NSC_4522,31,"C, H, I, O, S",0.0733,0.2274,0.0548,0.9855
NSC_10254,12,"C, Cl, F, H",0.0733,0.1422,0.0597,0.9407
NSC_210787,24,"C, H, I, N, O",0.0733,0.1982,0.0497,0.9744
NSC_10276,14,"C, Cl, F, H, N",0.0733,0.18,0.0526,0.9533
NSC_670789,26,"Br, C, H, I, O",0.0734,0.2055,0.051,0.9168
NSC_16136,20,"C, Cl, H, N, O, S",0.0734,0.1765,0.0552,0.9877
NSC_102032,39,"C, H, N, O",0.0734,0.2152,0.052,0.9493
NSC_672028,39,"C, F, H, I, N, O, S",0.0734,0.1808,0.0537,0.9497
NSC_150520,31,"C, Cl, F, H, N, O, S",0.0734,0.2649,0.0504,0.9789
NSC_25375,23,"C, H, I, O",0.0734,0.1777,0.0577,0.9586
NSC_10553,29,"C, Cl, H, N, O, S",0.0734,0.2476,0.054,0.9873
NSC_10023,52,"C, H, O",0.0734,0.2541,0.0501,0.9576
NSC_106372,26,"C, Cl, H, N, O",0.0734,0.2647,0.0511,0.9128
NSC_103330,44,"C, Cl, H, N, O",0.0734,0.2582,0.0482,0.924
NSC_106533,28,"C, Cl, H, N, O",0.0734,0.1418,0.056,0.953
NSC_187514,42,"C, H, N, O, S",0.0734,0.2365,0.0477,0.9774
NSC_36397,35,"C, H, I, N, O",0.0734,0.2058,0.0517,0.9653
NSC_127470,31,"C, Cl, F, H, N, O, S",0.0734,0.2662,0.0478,0.9786
NSC_102824,42,"C, H, N, O",0.0734,0.2176,0.0526,0.9529
